id,nom,segment,agence_id,encours,score,statut,email,telephone
CLI-10046,Ahmed Jai,PME,AG-004,683832.16,75,Actif,client46@email.com,0067276933
CLI-10047,Mohamed Sbihi,Particuliers,AG-001,1570628.18,63,Actif,client47@email.com,0000000000
CLI-10048,Samira Benjelloun,PME,AG-005,7132976.52,34,Defaut,client48@email.com,0061413512
CLI-10049,Salma Fassi-Fihri,Particuliers,AG-002,339892.03,81,Actif,client49@email.com,0066318787
CLI-10050,Noureddine Ouazzani,Bancassurance,AG-007,227417.51,63,Actif,client50@email.com,0061498396
CLI-10051,Imane Zniber,PME,AG-001,14659074.09,58,A risque,client51@email.com,0065978625
CLI-10052,Zineb Guedira,Particuliers,AG-002,484401.59,50,A risque,client52@email.com,0069925311
CLI-10053,Rachid Lamrani,Bancassurance,AG-001,5593107.17,47,A risque,client53@email.com,0067327693
CLI-10054,Zineb Berrada,Particuliers,AG-003,407219.43,36,A risque,client54@email.com,0072854451
CLI-10055,Zineb Erraji,Professionnels,AG-001,2430950.52,68,Actif,client55@email.com,0067531373
CLI-10056,Mohamed Slaoui,PME,AG-001,7422071.74,72,Actif,client56@email.com,0070994581
CLI-10057,Hassan Hakim,PME,AG-001,14525557.4,21,Defaut,client57@email.com,0071726712
CLI-10058,Said Sbihi,Particuliers,AG-005,633729.03,64,Actif,client58@email.com,0068807754
CLI-10059,Khalid Balafrej,Particuliers,AG-005,218891.15,61,Actif,client59@email.com,0062789833
CLI-10060,Mehdi Berrada,PME,AG-001,15937016.12,61,Actif,client60@email.com,0070462234
CLI-10061,Zineb Mouline,PME,AG-001,1625787.69,55,A risque,client61@email.com,0065992691
CLI-10062,Zineb Mouline,Particuliers,AG-001,1009278.98,65,Actif,client62@email.com,0066331642
CLI-10063,Abdellah Sbihi,Particuliers,AG-001,337647.27,37,A risque,client63@email.com,0070482041
CLI-10064,Mehdi Zniber,PME,AG-004,1568287.74,39,A risque,client64@email.com,0069586766
CLI-10065,Soukaina Idrissi,PME,AG-001,19737129.26,29,Defaut,client65@email.com,0064903743
CLI-10066,Mehdi Alaoui,Particuliers,AG-001,31495.93,43,A risque,client66@email.com,0068988670
CLI-10067,Said El Fassi,PME,AG-005,9998783.3,25,Defaut,client67@email.com,0071859435
CLI-10068,Samira Zniber,Grandes Entreprises,AG-005,45106178.49,82,Actif,client68@email.com,0062173149
CLI-10069,Samira Alaoui,Particuliers,AG-002,360119.19,55,A risque,client69@email.com,0069736620
CLI-10070,Mohamed Bencheikh,PME,AG-005,542357.32,69,Actif,client70@email.com,0064968385
CLI-10071,Leila Mouline,PME,AG-003,4196797.76,61,Actif,client71@email.com,0065338465
CLI-10072,Hind Mouline,Particuliers,AG-002,421817.64,81,Actif,client72@email.com,0062305262
CLI-10073,Asmaa Bennani,Professionnels,AG-013,202419.95,49,A risque,client73@email.com,0066246175
CLI-10074,Driss Alaoui,Particuliers,AG-003,181918.74,55,A risque,client74@email.com,0066897390
CLI-10075,Mehdi Sbihi,Grandes Entreprises,AG-003,7606319.84,49,A risque,client75@email.com,0071874030
CLI-10076,Hind Hakim,Professionnels,AG-001,557748.41,78,Actif,client76@email.com,0062922973
CLI-10077,Salma Benjelloun,Professionnels,AG-001,2208269.34,81,Actif,client77@email.com,0067348675
CLI-10078,Salma Hakim,PME,AG-001,8935032.35,50,A risque,client78@email.com,0069441046
CLI-10079,Driss Erraji,PME,AG-003,4574542.23,64,Actif,client79@email.com,0066807958
CLI-10080,Hind Ouazzani,Particuliers,AG-015,87513.15,47,A risque,client80@email.com,0067155070
CLI-10081,Zineb Kabbaj,Professionnels,AG-005,139965.89,88,Actif,client81@email.com,0069855222
CLI-10082,Karim Lamrani,Particuliers,AG-005,711824.28,59,A risque,client82@email.com,0063197043
CLI-10083,Ahmed Lamrani,Professionnels,AG-005,811368.4,89,Actif,client83@email.com,0000000000
CLI-10084,Hind Hakim,Particuliers,AG-005,118489.59,33,Defaut,client84@email.com,0071226631
CLI-10085,Imane Tazi,PME,AG-001,3472155.46,47,A risque,client85@email.com,0069628297
CLI-10086,Hicham Kabbaj,Professionnels,AG-001,2466308.09,84,Actif,client86@email.com,0064738428
CLI-10087,Amine Zniber,PME,AG-002,3909643.19,68,Actif,client87@email.com,0069301966
CLI-10088,Abdellah Berrada,PME,AG-014,1693493.7,40,A risque,client88@email.com,0065355971
CLI-10089,Zineb Bencheikh,Particuliers,AG-002,1065167.48,60,Actif,client89@email.com,0067451182
CLI-10090,Hicham El Amrani,Grandes Entreprises,AG-014,13642443.84,71,Actif,client90@email.com,0065398755
CLI-10091,Mehdi Kabbaj,PME,AG-001,3293882.96,54,A risque,client91@email.com,0062909215
CLI-10092,Imane Sbihi,Grandes Entreprises,AG-001,37479849.62,47,A risque,client92@email.com,0067323526
CLI-10093,Driss Idrissi,Particuliers,AG-002,1171357.88,60,Actif,client93@email.com,0068475324
CLI-10094,Imane Ouazzani,Professionnels,AG-014,495051.4,78,Actif,client94@email.com,0067815621
CLI-10095,Fatima Bennani,PME,AG-002,10583767.92,40,A risque,client95@email.com,0066239639
CLI-10096,Hind Hakim,Particuliers,AG-013,196785.97,40,A risque,client96@email.com,0071189169
CLI-10097,Driss Fikri,Particuliers,AG-001,264511.47,100,Actif,client97@email.com,0064782759
CLI-10098,Abdellah Mouline,Grandes Entreprises,AG-005,24201202.45,88,Actif,client98@email.com,0072296393
CLI-10099,Amine Sbihi,Particuliers,AG-012,79488.14,57,A risque,client99@email.com,0064562297
CLI-10100,Khalid El Amrani,Particuliers,AG-005,307727.56,50,A risque,client100@email.com,0062682194
CLI-10101,Nadia Balafrej,Particuliers,AG-014,284270.71,34,Defaut,client101@email.com,0064188036
CLI-10102,Youssef Sbihi,PME,AG-001,16513695.34,98,Actif,client102@email.com,0070104528
CLI-10103,Omar Jai,PME,AG-001,16540888.99,55,A risque,client103@email.com,0064855112
CLI-10104,Driss Slaoui,Particuliers,AG-001,946757.29,62,Actif,client104@email.com,0066758523
CLI-10105,Zineb Ouazzani,PME,AG-004,2042173.25,74,Actif,client105@email.com,0071131771
CLI-10106,Hassan Benjelloun,PME,AG-001,9515444.04,37,A risque,client106@email.com,0062518728
CLI-10107,Abdellah Fassi-Fihri,Particuliers,AG-005,579338.87,35,A risque,client107@email.com,0068748765
CLI-10108,Said Erraji,Professionnels,AG-005,1146738.71,100,Actif,client108@email.com,0064656739
CLI-10109,Hassan Idrissi,,AG-002,3501024.66,46,A risque,client109@email.com,0063977018
CLI-10110,Soukaina El Fassi,Professionnels,AG-005,1156595.71,82,Actif,client110@email.com,0070818152
CLI-10111,Abdellah Zniber,Grandes Entreprises,AG-008,2768465.73,39,A risque,client111@email.com,0065864955
CLI-10112,Meryem Jai,Particuliers,AG-001,1766302.54,80,Actif,client112@email.com,0066815724
CLI-10113,Soukaina Fassi-Fihri,Professionnels,AG-006,845713.13,100,Actif,client113@email.com,0071811387
CLI-10114,Zineb Benjelloun,PME,AG-001,6786209.49,46,A risque,client114@email.com,0066541033
CLI-10115,Karim Tazi,Particuliers,AG-002,959085.27,58,A risque,client115@email.com,0064586368
CLI-10116,Meryem Lamrani,PME,AG-005,6246760.15,,A risque,client116@email.com,0062162930
CLI-10117,Abdellah Hakim,Particuliers,AG-002,288479.17,47,A risque,client117@email.com,0069245465
CLI-10118,Mohamed Balafrej,Particuliers,AG-004,202921.06,50,A risque,client118@email.com,0064608617
CLI-10119,Noureddine Sbihi,Particuliers,AG-001,41877.23,61,Actif,client119@email.com,0072653226
CLI-10120,Mohamed Kabbaj,Professionnels,AG-003,1401838.81,84,Actif,client120@email.com,0062601565
CLI-10121,Omar Lamrani,PME,AG-008,2420609.02,26,Defaut,client121@email.com,0062611251
CLI-10122,Noureddine Slaoui,Particuliers,AG-005,479253.11,49,A risque,client122@email.com,0062416585
CLI-10123,Salma El Amrani,Particuliers,AG-002,160129.67,72,Actif,client123@email.com,0069345454
CLI-10124,Omar El Amrani,Particuliers,AG-001,431196.28,80,Actif,client124@email.com,0070299319
CLI-10125,Karim Benjelloun,PME,AG-006,4142732.32,13,Defaut,client125@email.com,0071895190
CLI-10126,Hassan Hakim,PME,AG-002,10258194.4,64,Actif,client126@email.com,0070175574
CLI-10127,Noureddine Kabbaj,Particuliers,AG-001,2033514.97,56,A risque,client127@email.com,0062888674
CLI-10128,Samira Mouline,PME,AG-013,207990.87,77,Actif,client128@email.com,0070933451
CLI-10129,Ahmed Berrada,Particuliers,AG-013,314433.84,74,Actif,client129@email.com,0062749232
CLI-10130,Said Erraji,Particuliers,AG-016,147523.88,30,Defaut,client130@email.com,0066574659
CLI-10131,Samira Benjelloun,PME,AG-001,11835493.95,43,A risque,client131@email.com,0067464294
CLI-10132,Youssef Lamrani,Particuliers,AG-004,229086.74,75,Actif,client132@email.com,0071999460
CLI-10133,Leila Bencheikh,PME,AG-001,3111657.54,42,A risque,client133@email.com,0072977721
CLI-10134,Hicham Benjelloun,Particuliers,AG-002,243852.33,49,A risque,client134@email.com,0064537234
CLI-10135,Meryem Lamrani,PME,AG-001,15499700.38,29,Defaut,client135@email.com,0069149453
CLI-10136,Said Fikri,Particuliers,AG-002,1066820.15,60,Actif,client136@email.com,0070316615
CLI-10137,Asmaa Balafrej,Particuliers,AG-001,948098.04,55,A risque,client137@email.com,0069404970
CLI-10138,Said Tazi,Bancassurance,AG-013,575548.77,99,Actif,client138@email.com,0065587477
CLI-10139,Mehdi Idrissi,Particuliers,AG-006,630497.15,61,Actif,client139@email.com,0069237625
CLI-10140,Amine Bennani,Grandes Entreprises,AG-001,19758047.21,100,Actif,client140@email.com,0067213867
CLI-10141,Imane Benjelloun,Particuliers,AG-002,299816.99,56,A risque,client141@email.com,0066229352
CLI-10142,Mohamed Idrissi,Professionnels,AG-001,2754191.4,72,Actif,client142@email.com,
CLI-10143,Said El Amrani,PME,AG-003,2814271.16,43,A risque,client143@email.com,0065251640
CLI-10144,Khadija Zniber,Particuliers,AG-002,1160105.66,60,Actif,client144@email.com,0070781290
CLI-10145,Amine Idrissi,Particuliers,AG-001,881629.84,51,A risque,client145@email.com,0071952077
CLI-10146,Leila Ouazzani,PME,AG-003,4783374.62,43,A risque,client146@email.com,0061597015
CLI-10147,Youssef Alaoui,Particuliers,AG-001,1531460.86,65,Actif,client147@email.com,0071238452
CLI-10148,Leila Tazi,PME,AG-002,10683188.04,35,A risque,client148@email.com,0071699971
CLI-10149,Khadija Ouazzani,PME,AG-001,1408391.27,37,A risque,client149@email.com,0064155049
CLI-10150,Zineb El Amrani,Particuliers,AG-003,695864.8,65,Actif,client150@email.com,0064465516
CLI-10151,Hind Mouline,Particuliers,AG-001,1863585.41,84,Actif,client151@email.com,0067533373
CLI-10152,Asmaa Tazi,Particuliers,AG-006,67736.78,43,A risque,client152@email.com,0067206587
CLI-10153,Amine Kabbaj,Particuliers,AG-002,777713.74,53,A risque,client153@email.com,0067319866
CLI-10154,Noureddine Fikri,Particuliers,AG-016,235266.47,48,A risque,client154@email.com,0061199591
CLI-10155,Hicham El Amrani,Particuliers,AG-005,736681.78,96,Actif,client155@email.com,0068142618
CLI-10156,Driss Idrissi,PME,AG-002,7871583.46,58,A risque,client156@email.com,0071675757
CLI-10157,Noureddine Sbihi,Particuliers,AG-003,114568.06,53,A risque,client157@email.com,0072337376
CLI-10158,Khalid El Fassi,PME,AG-006,1686284.39,40,A risque,client158@email.com,0070469872
CLI-10159,Amina Sbihi,Particuliers,AG-001,1690794.15,47,A risque,client159@email.com,0066955418
CLI-10160,Khadija Berrada,Particuliers,AG-001,1483444.03,1,Defaut,client160@email.com,0072913256
CLI-10161,Samira Idrissi,Particuliers,AG-001,1163960.03,63,Actif,client161@email.com,0066698026
CLI-10162,Leila Idrissi,Particuliers,AG-005,833813.99,57,A risque,client162@email.com,0070192650
CLI-10163,Zineb Alaoui,Particuliers,AG-005,695840.23,84,Actif,client163@email.com,0063266574
CLI-10164,Mehdi Idrissi,Particuliers,AG-003,158646.98,40,A risque,client164@email.com,0072385476
CLI-10165,Nadia Benjelloun,PME,AG-005,5887523.65,62,Actif,client165@email.com,0069923185
CLI-10166,Ahmed El Amrani,Grandes Entreprises,AG-004,11863635.43,85,Actif,client166@email.com,0070151320
CLI-10167,Mehdi Mouline,Particuliers,AG-001,88207.24,39,A risque,client167@email.com,0071794792
CLI-10168,Said Mouline,Particuliers,AG-006,331469.88,51,A risque,client168@email.com,0072173066
CLI-10169,Khadija Sbihi,Particuliers,AG-002,1264861.54,72,Actif,client169@email.com,0066612657
CLI-10170,Noureddine Lamrani,Particuliers,AG-001,949470.21,49,A risque,client170@email.com,0063221647
CLI-10171,Driss Mouline,Grandes Entreprises,AG-014,13231296.13,91,Actif,client171@email.com,0064307375
CLI-10172,Amine Alaoui,Particuliers,AG-003,368760.52,23,Defaut,client172@email.com,0068403784
CLI-10173,Meryem Ouazzani,PME,AG-009,4425163.89,30,Defaut,client173@email.com,0067274356
CLI-10174,Khadija Kabbaj,PME,AG-002,2749298.17,56,A risque,client174@email.com,0069461959
CLI-10175,Amine Benjelloun,Bancassurance,AG-001,7612124.43,66,Actif,client175@email.com,0067575381
CLI-10176,Driss Benjelloun,Particuliers,AG-003,52658.1,53,A risque,client176@email.com,0063527076
CLI-10177,Khadija Slaoui,Particuliers,AG-003,911474.4,53,A risque,client177@email.com,0072488553
CLI-10178,Said Zniber,Particuliers,AG-005,883496.13,55,A risque,client178@email.com,0066529624
CLI-10179,Salma Alaoui,Professionnels,AG-009,282762.44,51,A risque,client179@email.com,0071848339
CLI-10180,Ahmed Zniber,PME,AG-001,13088242.14,34,Defaut,client180@email.com,0067289741
CLI-10181,Zineb Alaoui,Particuliers,AG-001,1444287.54,57,A risque,client181@email.com,0067748870
CLI-10182,Omar Kabbaj,PME,AG-003,9183162.13,61,Actif,client182@email.com,0068775850
CLI-10183,Khalid Berrada,Particuliers,AG-002,829142.7,65,Actif,client183@email.com,0072438871
CLI-10184,Karim Mouline,Grandes Entreprises,AG-001,102247317.29,46,A risque,client184@email.com,0065369872
CLI-10185,Mehdi Alaoui,PME,AG-011,1369413.38,50,A risque,client185@email.com,0067605428
CLI-10186,Asmaa Sbihi,Particuliers,AG-005,485294.12,71,Actif,client186@email.com,0065713735
CLI-10187,Leila Berrada,Particuliers,AG-003,228887.76,999,Actif,client187@email.com,0061957738
CLI-10188,Leila Mouline,Particuliers,AG-005,835522.0,80,Actif,client188@email.com,0061803062
CLI-10189,Amina Alaoui,Bancassurance,AG-001,7105844.67,58,A risque,client189@email.com,0062938339
CLI-10190,Salma Hakim,Professionnels,AG-001,792723.43,91,Actif,client190@email.com,0061607333
CLI-10191,Youssef Slaoui,PME,AG-001,6290910.31,92,Actif,client191@email.com,0071797773
CLI-10192,Mohamed Erraji,Particuliers,AG-001,359763.22,94,Actif,client192@email.com,0068924233
CLI-10193,Noureddine Bencheikh,PME,AG-003,,67,Actif,client193@email.com,0067755121
CLI-10194,Mehdi Zniber,Particuliers,AG-002,345632.59,93,Actif,client194@email.com,0064674452
CLI-10195,Khadija Fassi-Fihri,PME,AG-001,2917599.91,49,A risque,client195@email.com,0065306197
CLI-10196,Youssef Mouline,PME,AG-005,10174893.12,45,A risque,client196@email.com,0066883838
CLI-10197,Soukaina Lamrani,PME,AG-005,5227819.65,32,Defaut,client197@email.com,0069953741
CLI-10198,Asmaa Sbihi,Particuliers,AG-001,1471535.62,73,Actif,client198@email.com,0062822417
CLI-10199,Hassan Slaoui,Particuliers,AG-001,933540.5,80,Actif,client199@email.com,0071368472
CLI-10200,Soukaina Hakim,Particuliers,AG-001,879282.07,92,Actif,client200@email.com,0070178169
CLI-10201,Ahmed Idrissi,Professionnels,AG-002,185072.34,67,Actif,client201@email.com,0066991879
CLI-10202,Amine Ouazzani,Particuliers,AG-002,243496.4,38,A risque,client202@email.com,0063929263
CLI-10203,Omar Sbihi,Particuliers,AG-010,350448.72,100,Actif,client203@email.com,0063935425
CLI-10204,Salma Sbihi,Bancassurance,AG-001,6554554.95,92,Actif,client204@email.com,0061486996
CLI-10205,Said Lamrani,Particuliers,AG-002,254239.29,51,A risque,client205@email.com,0072241494
CLI-10206,Samira Bencheikh,Particuliers,AG-009,112322.91,64,Actif,client206@email.com,0062861467
CLI-10207,Hicham Zniber,PME,AG-001,4926219.58,41,A risque,client207@email.com,0061277447
CLI-10208,Hicham Guedira,PME,AG-004,2160950.32,59,A risque,client208@email.com,0065289476
CLI-10209,Amine El Amrani,Grandes Entreprises,AG-001,67048122.0,100,Actif,client209@email.com,0067817316
CLI-10210,Meryem Sbihi,Particuliers,AG-006,305006.81,34,Defaut,client210@email.com,0063485833
CLI-10211,Khadija Benjelloun,Particuliers,AG-008,512851.87,53,A risque,client211@email.com,0069626381
CLI-10212,Salma Balafrej,Particuliers,AG-001,188410.67,30,Defaut,client212@email.com,0068572178
CLI-10213,Khalid Erraji,Particuliers,AG-004,379352.89,91,Actif,client213@email.com,0071813771
CLI-10214,Hind Lamrani,Particuliers,AG-009,104077.17,76,Actif,client214@email.com,0072257141
CLI-10215,Amine Slaoui,Particuliers,AG-002,605340.58,55,A risque,client215@email.com,0071554943
CLI-10216,Said Alaoui,Professionnels,AG-002,1755999.49,81,Actif,client216@email.com,0066365750
CLI-10217,Karim Berrada,Particuliers,AG-001,1215559.57,59,A risque,client217@email.com,0067472935
CLI-10218,Salma El Amrani,Particuliers,AG-007,289927.16,100,Actif,client218@email.com,0071534272
CLI-10219,Khadija Alaoui,PME,AG-002,7140898.18,46,A risque,client219@email.com,0063799217
CLI-10220,Hicham Idrissi,Professionnels,AG-001,312899.27,75,Actif,client220@email.com,0061622790
CLI-10221,Mohamed Bennani,Particuliers,AG-001,1395514.21,44,A risque,client221@email.com,0070719472
CLI-10222,Asmaa Fassi-Fihri,Particuliers,AG-002,928851.6,79,Actif,client222@email.com,0069461274
CLI-10223,Asmaa Fikri,Grandes Entreprises,AG-006,6892294.01,81,Actif,client223@email.com,0064897742
CLI-10224,Mehdi Bencheikh,Particuliers,AG-002,529218.65,67,Actif,client224@email.com,0070419938
CLI-10225,Leila Bennani,Bancassurance,AG-001,3315798.37,67,Actif,client225@email.com,0067807017
CLI-10226,Ahmed Berrada,Professionnels,AG-001,2561300.3,64,Actif,client226@email.com,0066822277
CLI-10227,Ahmed Tazi,Professionnels,AG-008,110463.28,62,Actif,client227@email.com,0065798294
CLI-10228,Omar Zniber,Bancassurance,AG-001,4686252.22,70,Actif,client228@email.com,0072601948
CLI-10229,Salma Fikri,Particuliers,AG-007,333812.23,74,Actif,client229@email.com,0063982074
CLI-10230,Leila Jai,Particuliers,AG-007,339632.96,52,A risque,client230@email.com,0070605113
CLI-10231,Meryem Lamrani,Particuliers,AG-002,250772.64,45,A risque,client231@email.com,0070945820
CLI-10232,Karim Fikri,Particuliers,AG-001,576414.55,56,A risque,client232@email.com,0067912959
CLI-10233,Amina Slaoui,Particuliers,AG-001,298169.39,52,A risque,client233@email.com,0063656781
CLI-10234,Mehdi Guedira,Particuliers,AG-001,217153.99,73,Actif,client234@email.com,0070515911
CLI-10235,Youssef Jai,Grandes Entreprises,AG-001,61709690.56,100,Actif,client235@email.com,0063975831
CLI-10236,Amine Jai,Particuliers,AG-003,406403.39,34,Defaut,client236@email.com,0067487119
CLI-10237,Noureddine Erraji,Particuliers,AG-005,157999.58,47,A risque,client237@email.com,0061605289
CLI-10238,Samira Fassi-Fihri,Professionnels,AG-002,1590405.51,54,A risque,client238@email.com,0070274851
CLI-10239,Noureddine Jai,Bancassurance,AG-001,5499981.57,84,Actif,client239@email.com,0068834151
CLI-10240,Meryem Sbihi,Particuliers,AG-002,728707.04,59,A risque,client240@email.com,0070793397
CLI-10241,Leila Hakim,PME,AG-001,17713139.22,55,A risque,client241@email.com,0067967327
CLI-10242,Nadia Ouazzani,PME,AG-005,8578978.32,46,A risque,client242@email.com,0062678671
CLI-10243,Hassan El Fassi,Professionnels,AG-010,727110.33,63,Actif,client243@email.com,0072788691
CLI-10244,Leila Ouazzani,Particuliers,AG-005,703525.34,64,Actif,client244@email.com,0061829296
CLI-10245,Hind Zniber,PME,AG-002,3090573.47,58,A risque,client245@email.com,0072768184
CLI-10246,Mohamed Mouline,Particuliers,AG-002,874958.14,67,Actif,client246@email.com,0072742954
CLI-10247,Khadija Mouline,Bancassurance,AG-002,817372.82,100,Actif,client247@email.com,0065536836
CLI-10248,Mohamed Erraji,PME,AG-001,9695629.08,80,Actif,client248@email.com,0062481524
CLI-10249,Driss Berrada,Particuliers,AG-005,199554.37,75,Actif,client249@email.com,0063528164
CLI-10250,Driss Zniber,Particuliers,AG-004,423418.6,60,Actif,client250@email.com,0067138835
CLI-10251,Amine Erraji,Particuliers,AG-001,1661000.54,57,A risque,client251@email.com,0070237833
CLI-10252,Samira Ouazzani,PME,AG-001,10446735.09,79,Actif,client252@email.com,0071508659
CLI-10253,Soukaina Benjelloun,Professionnels,AG-002,1717893.0,43,A risque,client253@email.com,0065888520
CLI-10254,Samira Benjelloun,Particuliers,AG-001,792770.67,39,A risque,client254@email.com,0063755963
CLI-10255,Mehdi Benjelloun,Particuliers,AG-002,1192398.4,22,Defaut,client255@email.com,0063813172
CLI-10256,Asmaa Ouazzani,PME,AG-008,4865751.38,42,A risque,client256@email.com,0061722734
CLI-10257,Mohamed Berrada,Particuliers,AG-003,774541.7,54,A risque,client257@email.com,0068312082
CLI-10258,Khadija El Fassi,Particuliers,AG-001,371501.24,44,A risque,client258@email.com,0068827380
CLI-10259,Said El Fassi,Particuliers,AG-001,1580438.94,84,Actif,client259@email.com,0072667937
CLI-10260,Zineb Idrissi,Particuliers,AG-005,946484.7,60,Actif,client260@email.com,0061674354
CLI-10261,Omar Lamrani,PME,AG-016,1435741.92,54,A risque,client261@email.com,0066889064
CLI-10262,Amina Tazi,Particuliers,AG-001,147920.99,94,Actif,client262@email.com,0066784586
CLI-10263,Ahmed Jai,Particuliers,AG-005,1064523.27,58,A risque,client263@email.com,0071222762
CLI-10264,Noureddine Mouline,Professionnels,AG-001,1071283.2,100,Actif,client264@email.com,0072514196
CLI-10265,Hind Fikri,PME,AG-005,8637123.58,46,A risque,client265@email.com,0062617545
CLI-10266,Soukaina Fassi-Fihri,PME,AG-003,8024102.63,57,A risque,client266@email.com,0072216891
CLI-10267,Amina Zniber,Particuliers,AG-001,461142.91,65,Actif,client267@email.com,0065514653
CLI-10268,Imane Kabbaj,PME,AG-008,,70,Actif,client268@email.com,0061152290
CLI-10269,Hassan El Amrani,Bancassurance,AG-002,4379649.47,16,Defaut,client269@email.com,0071483045
CLI-10270,Salma Fassi-Fihri,PME,AG-001,13679919.32,78,Actif,client270@email.com,0061609049
CLI-10271,Driss Bennani,Particuliers,AG-002,114514.54,72,Actif,pas_un_email,0070387697
CLI-10272,Salma El Fassi,Particuliers,AG-015,32037.14,69,Actif,client272@email.com,0062395921
CLI-10273,Khadija Zniber,Particuliers,AG-002,,37,A risque,client273@email.com,0071962818
CLI-10274,Zineb Balafrej,Particuliers,AG-002,961811.81,84,Actif,client274@email.com,
CLI-10275,Hassan Berrada,PME,AG-006,2387815.75,17,Defaut,client275@email.com,0063414592
