ref,client_id,client_nom,type_credit,montant,duree,taux,score,statut,date_depot,agence_id
ENG-20017,CLI-10197,Leila Idrissi,Mourabaha Immo,948539.89,240,6.75,44,Surveillance,2025-04-20 08:41:16,AG-003
ENG-20018,CLI-10278,Hassan Ouazzani,Mourabaha Immo,802633.43,240,4.32,56,Debloque,2023-05-16 13:06:51,AG-001
ENG-20019,CLI-10237,Ahmed El Fassi,Investissement PME,1241497.63,84,5.41,46,Debloque,2024-08-22 16:26:51,AG-004
ENG-20020,CLI-10242,Said Guedira,Mourabaha Immo,547712.67,180,7.88,79,Debloque,2024-12-17 11:49:17,AG-010
ENG-20021,CLI-10017,Youssef Hakim,Ijara,224566.16,180,5.41,75,Debloque,2025-09-18 09:03:13,AG-001
ENG-20022,CLI-10414,Zineb Idrissi,Mourabaha Immo,851072.42,180,5.65,55,En analyse,2025-06-19 16:31:51,AG-003
ENG-20023,CLI-10371,Meryem Guedira,Ijara,669574.4,120,7.6,64,Debloque,2025-11-23 16:08:13,AG-005
ENG-20024,CLI-10400,Mehdi Alaoui,Mourabaha Auto,242396.32,60,4.27,32,Debloque,2023-03-01 16:39:30,AG-007
ENG-20025,CLI-10406,Zineb Sbihi,Credit Tresorerie,265928.76,24,7.8,66,Surveillance,2023-03-10 10:35:32,AG-002
ENG-20026,CLI-10396,Hicham Sbihi,Mourabaha Immo,660122.43,120,5.82,58,Debloque,2026-06-06 12:12:16,AG-005
ENG-20027,CLI-10428,Ahmed El Amrani,Ijara,474292.53,180,8.06,68,En analyse,2023-04-04 13:12:42,AG-006
ENG-20028,CLI-10447,Abdellah El Amrani,Mourabaha Auto,211733.11,48,4.68,62,En analyse,2024-08-01 10:02:47,AG-010
ENG-20029,CLI-10373,Amina Fassi-Fihri,Mourabaha Auto,375761.32,60,4.59,94,Debloque,2025-12-11 16:39:06,AG-006
ENG-20030,CLI-10124,Driss Sbihi,Ijara,187602.07,180,7.78,93,Surveillance,2025-02-27 08:56:57,AG-007
ENG-20031,CLI-10372,Hicham Ouazzani,Investissement PME,966057.37,48,4.0,40,Surveillance,2025-02-24 15:18:31,AG-001
ENG-20032,CLI-10071,Khadija Balafrej,Investissement PME,2580668.47,84,5.39,38,Debloque,2024-12-06 10:28:43,AG-008
ENG-20033,CLI-10408,Omar Ouazzani,Credit Tresorerie,,24,4.24,63,Valide,2024-06-26 08:28:47,AG-004
ENG-20034,CLI-10107,Hind Lamrani,Mourabaha Immo,575194.3,240,6.6,83,En analyse,2024-05-10 13:05:21,AG-010
ENG-20035,CLI-10439,Abdellah Sbihi,Mourabaha Auto,142975.26,36,6.38,70,Surveillance,2024-09-08 15:14:19,AG-010
ENG-20036,CLI-10039,Hicham Alaoui,Investissement PME,1546688.21,48,8.45,27,Debloque,2025-10-09 09:23:01,AG-005
ENG-20037,CLI-10024,Driss Benjelloun,Mourabaha Immo,834505.53,240,8.81,89,Surveillance,2025-12-13 12:18:47,AG-002
ENG-20038,CLI-10036,Hind Alaoui,Credit Tresorerie,171130.99,12,6.65,38,Debloque,2026-09-13 11:22:29,AG-008
ENG-20039,CLI-10495,Hind Tazi,Credit Tresorerie,509175.5,24,7.16,26,Debloque,2024-04-22 11:05:49,AG-010
ENG-20040,CLI-10416,Amina Lamrani,Mourabaha Immo,569503.81,120,8.88,60,Valide,2026-01-02 14:18:29,AG-004
ENG-20041,CLI-10306,Mohamed Berrada,Mourabaha Auto,167448.13,60,3.91,999,Debloque,2026-09-25 16:53:03,AG-008
ENG-20042,CLI-10433,Driss Fassi-Fihri,Mourabaha Auto,407220.11,36,4.73,54,Debloque,2026-11-28 08:48:26,AG-002
ENG-20043,CLI-10110,Nadia Balafrej,Mourabaha Immo,438988.87,180,8.27,87,Debloque,2025-04-07 08:37:27,AG-007
ENG-20044,CLI-10065,Fatima Bencheikh,Mourabaha Immo,308725.73,180,7.58,83,Debloque,2024-01-21 09:50:53,AG-002
ENG-20045,CLI-10031,Nadia Jai,Mourabaha Immo,1049849.7,120,8.87,47,En analyse,2023-11-06 14:54:11,AG-001
ENG-20046,CLI-10381,Fatima El Fassi,Mourabaha Auto,198518.45,24,6.28,34,Debloque,2026-09-22 12:57:15,AG-006
ENG-20047,CLI-10091,Khalid Mouline,Mourabaha Immo,807559.56,120,8.67,36,Surveillance,2026-06-20 09:39:22,AG-007
ENG-20048,CLI-10457,Amine Tazi,Mourabaha Immo,287166.22,240,8.98,22,Debloque,2024-01-26 16:14:58,AG-006
ENG-20049,CLI-10338,Khalid Fikri,Mourabaha Immo,911011.24,240,3.69,36,Debloque,2025-07-26 17:38:35,AG-002
ENG-20050,CLI-10164,Salma Mouline,Mourabaha Immo,567377.53,120,5.21,32,Valide,2023-01-03 12:51:41,AG-007
ENG-20051,CLI-10097,Omar Hakim,Ijara,293015.59,180,5.46,44,Debloque,2025-02-20 14:10:17,AG-006
ENG-20052,CLI-10425,Nadia Balafrej,Mourabaha Immo,443109.89,240,5.07,63,Surveillance,2023-01-23 10:29:23,AG-002
ENG-20053,CLI-10415,Driss Hakim,Mourabaha Auto,160032.24,24,6.21,67,En analyse,2024-08-10 16:31:53,AG-007
ENG-20054,CLI-10419,Mehdi El Fassi,Credit Tresorerie,419146.82,36,7.38,35,Debloque,2023-11-20 15:58:09,AG-009
ENG-20055,CLI-10300,Salma Benjelloun,Ijara,328752.91,120,7.23,91,Debloque,2024-03-18 12:18:22,AG-008
ENG-20056,CLI-10160,Leila Bencheikh,Mourabaha Immo,746659.94,240,6.5,76,Valide,2025-05-27 15:35:37,AG-003
ENG-20057,CLI-10391,Mohamed Fikri,Ijara,634099.49,120,5.25,43,Debloque,2025-12-15 12:03:21,AG-003
ENG-20058,CLI-10037,Samira El Fassi,Mourabaha Auto,306599.11,48,4.81,66,Valide,2026-09-20 13:51:08,AG-009
ENG-20059,CLI-10037,Samira El Fassi,Mourabaha Auto,302053.88,48,8.81,82,En analyse,2026-12-09 15:59:02,AG-009
ENG-20060,CLI-10234,Amina Hakim,Mourabaha Immo,755967.13,240,7.58,39,Surveillance,2025-07-11 17:15:41,AG-009
ENG-20061,CLI-10130,Leila Bencheikh,Ijara,200399.47,240,6.92,39,Debloque,2026-09-10 09:43:42,AG-007
ENG-20062,CLI-10182,Nadia Bennani,Mourabaha Immo,731744.92,120,7.94,72,Debloque,2025-12-06 15:58:35,AG-006
ENG-20063,CLI-10096,Youssef Mouline,Ijara,331252.67,180,3.75,89,Surveillance,2025-01-18 10:30:47,AG-006
ENG-20064,CLI-10295,Zineb Berrada,Mourabaha Immo,471349.66,180,8.63,93,Valide,2025-05-14 17:46:43,AG-010
ENG-20065,CLI-10258,Driss El Amrani,Mourabaha Auto,297302.26,36,5.51,43,Debloque,2024-12-26 09:29:59,AG-008
ENG-20066,CLI-10248,Soukaina Benjelloun,Mourabaha Immo,,180,8.11,86,Debloque,2023-05-06 12:52:49,AG-004
ENG-20067,CLI-10182,Nadia Bennani,Mourabaha Immo,909219.86,180,4.04,47,Valide,2024-11-10 17:20:59,AG-006
ENG-20068,CLI-10177,Soukaina Bencheikh,Mourabaha Immo,338907.46,240,8.05,48,Debloque,2023-05-16 13:07:41,AG-002
ENG-20069,CLI-10471,Soukaina Benjelloun,Ijara,92876.0,180,4.45,57,Contentieux,2024-05-22 16:38:07,AG-008
ENG-20070,CLI-10044,Mehdi Slaoui,Investissement PME,1783477.0,60,3.63,69,Debloque,2025-07-03 14:35:05,AG-003
ENG-20071,CLI-10101,Mehdi Alaoui,Credit Tresorerie,228052.81,36,5.88,57,Debloque,2025-09-19 14:03:50,AG-008
ENG-20072,CLI-10175,Said Fikri,Mourabaha Immo,716918.81,180,4.07,55,Debloque,2026-04-06 09:47:56,AG-010
ENG-20073,CLI-10324,Meryem Kabbaj,Mourabaha Immo,981682.32,180,8.78,20,Debloque,2024-04-22 12:50:50,AG-006
ENG-20074,CLI-10451,Khalid Mouline,Mourabaha Auto,157433.44,24,6.28,91,Debloque,2023-04-03 15:20:27,AG-007
ENG-20075,CLI-10096,Youssef Mouline,Investissement PME,1823415.12,48,6.8,73,Contentieux,2024-10-24 10:06:04,AG-006
ENG-20076,CLI-10152,Karim Zniber,Investissement PME,643935.03,84,5.38,64,Debloque,2023-02-05 15:17:27,AG-010
ENG-20077,CLI-10312,Abdellah Benjelloun,Mourabaha Immo,436016.68,180,7.78,25,Debloque,2026-07-11 12:18:37,AG-005
ENG-20078,CLI-10388,Noureddine Tazi,Mourabaha Immo,406453.51,120,7.76,72,Debloque,2023-06-09 10:51:46,AG-003
ENG-20079,CLI-10355,Omar Lamrani,Credit Tresorerie,333100.61,24,8.17,23,Debloque,2024-06-14 10:51:37,AG-007
ENG-20080,CLI-10341,Abdellah Erraji,Investissement PME,1328601.2,36,4.02,28,Debloque,2023-09-19 13:48:42,AG-009
ENG-20081,CLI-10438,Rachid Mouline,Mourabaha Immo,336121.27,180,5.96,72,Debloque,2024-06-13 08:48:04,AG-009
ENG-20082,CLI-10303,Driss El Amrani,Mourabaha Immo,781351.6,180,6.93,49,Debloque,2025-06-09 08:22:08,AG-002
ENG-20083,CLI-10046,Khadija Fikri,Mourabaha Auto,224155.98,48,8.21,999,Valide,2026-01-04 13:11:49,AG-009
ENG-20084,CLI-10207,Hind Tazi,Mourabaha Immo,586389.57,120,4.59,81,Contentieux,2025-01-27 16:13:46,AG-010
ENG-20085,CLI-10132,Hind El Amrani,Ijara,681163.85,120,3.93,46,Surveillance,2026-09-24 17:20:06,AG-008
ENG-20086,CLI-10469,Hicham Alaoui,Ijara,182084.38,240,8.09,59,Valide,2025-03-03 11:35:02,AG-007
ENG-20087,CLI-10473,Driss Lamrani,Mourabaha Auto,230024.67,36,6.14,48,Debloque,2026-12-04 15:38:41,AG-004
ENG-20088,CLI-10069,Noureddine El Amrani,Credit Tresorerie,191070.38,12,3.64,32,En analyse,2023-12-27 14:06:13,AG-004
ENG-20089,CLI-10208,Zineb Erraji,Mourabaha Immo,216187.44,240,3.94,23,Debloque,2025-02-22 09:33:51,AG-004
ENG-20090,CLI-10052,Leila Zniber,Mourabaha Immo,643001.33,120,4.7,32,Surveillance,2025-10-26 17:51:32,AG-002
ENG-20091,CLI-10185,Abdellah Jai,Mourabaha Auto,190049.21,48,8.17,70,Surveillance,2023-07-19 10:10:34,AG-008
ENG-20092,CLI-10340,Hassan Jai,Credit Tresorerie,284261.35,36,7.73,80,Valide,2023-09-16 15:24:08,AG-007
ENG-20093,CLI-10463,Hind Slaoui,Ijara,485974.84,120,7.49,41,Valide,2023-11-22 11:04:55,AG-009
ENG-20094,CLI-10344,Khadija Sbihi,Credit Tresorerie,80279.27,36,7.52,24,Debloque,2023-09-11 13:40:49,AG-007
ENG-20095,CLI-10482,Hicham Idrissi,Mourabaha Auto,361694.74,48,5.07,60,Debloque,2026-07-16 10:44:47,AG-005
ENG-20096,CLI-10003,Ahmed Alaoui,Credit Tresorerie,324886.04,12,5.93,42,Surveillance,2024-05-09 15:28:17,AG-003
ENG-20097,CLI-10091,Khalid Mouline,Ijara,319004.76,120,5.32,65,Debloque,2023-05-22 17:29:20,AG-007
ENG-20098,CLI-10417,Mohamed El Fassi,Mourabaha Auto,297515.33,24,7.49,45,Surveillance,2025-11-16 17:42:19,AG-003
ENG-20099,CLI-10200,Khalid Guedira,Mourabaha Immo,387721.22,240,5.65,81,Debloque,2025-06-21 08:49:59,AG-009
ENG-20100,CLI-10039,Hicham Alaoui,Ijara,182691.31,180,6.73,30,Debloque,2023-04-22 14:01:09,AG-005
ENG-20101,CLI-10499,Rachid Zniber,Mourabaha Auto,317020.91,36,4.18,40,En analyse,2023-11-07 13:20:45,AG-005
ENG-20102,CLI-10125,Ahmed El Fassi,Credit Tresorerie,230529.04,,5.81,62,Debloque,2024-10-02 09:12:31,AG-003
ENG-20103,CLI-10349,Asmaa Balafrej,Mourabaha Immo,189915.92,180,6.87,999,Debloque,2023-07-09 09:50:24,AG-009
ENG-20104,CLI-10174,Amine Slaoui,Ijara,588538.26,120,5.82,31,Surveillance,2025-05-07 16:14:26,AG-008
ENG-20105,CLI-10258,Driss El Amrani,Investissement PME,644991.69,84,6.27,87,Valide,2026-01-11 15:07:06,AG-008
ENG-20106,CLI-10216,Amine Kabbaj,Mourabaha Auto,197839.76,24,4.27,92,Debloque,2023-08-20 17:01:00,AG-010
ENG-20107,CLI-10352,Said Bennani,Mourabaha Immo,570889.08,180,8.01,85,Surveillance,2025-11-25 08:04:19,AG-007
ENG-20108,CLI-10425,Nadia Balafrej,Investissement PME,357906.92,84,3.6,83,Contentieux,2024-09-10 11:41:21,AG-002
ENG-20109,CLI-10465,Khalid Tazi,Mourabaha Immo,829309.6,240,7.28,78,Valide,2025-12-11 17:26:34,AG-003
ENG-20110,CLI-10255,Imane Alaoui,Mourabaha Immo,874475.75,180,5.1,79,Valide,2024-06-08 17:23:13,AG-002
ENG-20111,CLI-10257,Nadia Guedira,Credit Tresorerie,413880.28,36,6.28,95,En analyse,2024-10-05 13:55:09,AG-007
ENG-20112,CLI-10272,Youssef Hakim,Investissement PME,2373387.1,36,7.69,60,Debloque,2025-12-13 14:58:38,AG-008
ENG-20113,CLI-10105,Khadija Fassi-Fihri,Investissement PME,1777850.78,36,7.59,49,Debloque,2024-07-21 15:58:25,AG-005
ENG-20114,CLI-10447,Abdellah El Amrani,Ijara,259022.24,120,6.2,89,Surveillance,2024-02-10 09:47:44,AG-010
ENG-20115,CLI-10311,Samira El Fassi,Mourabaha Immo,371443.04,120,8.11,20,Debloque,2025-07-16 13:40:36,AG-001
ENG-20116,CLI-10445,Hicham Balafrej,Mourabaha Auto,266467.46,36,6.79,80,En analyse,2025-06-14 13:26:49,AG-002
ENG-20117,CLI-10317,Leila Balafrej,Mourabaha Auto,211010.96,36,3.61,45,Debloque,2025-03-24 12:34:37,AG-009
ENG-20118,CLI-10126,Omar Bennani,Mourabaha Immo,349355.38,240,8.78,65,Valide,2026-01-20 12:37:13,AG-006
ENG-20119,CLI-10398,Youssef Fikri,Ijara,248329.79,120,8.81,95,Surveillance,2023-06-21 11:00:30,AG-002
ENG-20120,CLI-10485,Soukaina Alaoui,Ijara,613933.42,120,3.92,58,En analyse,2025-11-08 13:44:20,AG-006
ENG-20121,CLI-10209,Fatima Benjelloun,Mourabaha Auto,222634.34,36,4.27,27,Debloque,2026-03-24 11:54:52,AG-002
ENG-20122,CLI-10466,Imane Balafrej,Mourabaha Auto,189769.81,48,3.6,75,En analyse,2023-11-06 15:52:38,AG-005
ENG-20123,CLI-10203,Imane Lamrani,Investissement PME,752154.51,60,4.19,57,Debloque,2025-03-27 13:31:23,AG-004
ENG-20124,CLI-10020,Omar Fikri,Credit Tresorerie,388163.13,24,5.35,29,Debloque,2023-10-12 13:25:42,AG-005
ENG-20125,CLI-10494,Said Fikri,Ijara,374805.57,120,3.88,90,Valide,2024-05-24 11:19:38,AG-003
ENG-20126,CLI-10107,Hind Lamrani,Mourabaha Immo,740740.87,120,6.05,35,Valide,2024-08-11 13:17:12,AG-010
ENG-20127,CLI-10435,Youssef El Fassi,Mourabaha Immo,195170.8,120,7.11,42,En analyse,2023-07-01 16:45:19,AG-001
ENG-20128,CLI-10259,Zineb Balafrej,Mourabaha Auto,253791.69,48,7.68,41,Valide,2023-05-13 10:55:11,AG-002
ENG-20129,CLI-10109,Imane Kabbaj,Mourabaha Auto,214763.37,48,6.24,70,Debloque,2026-11-27 08:30:59,AG-004
ENG-20130,,Abdellah Jai,Mourabaha Immo,1049217.91,120,8.04,30,Debloque,2026-10-15 17:58:07,AG-008
ENG-20131,CLI-10373,Amina Fassi-Fihri,Mourabaha Auto,265050.12,36,6.78,30,Contentieux,2024-11-13 09:03:07,AG-006
ENG-20132,CLI-10456,Fatima El Fassi,Ijara,563398.09,180,8.94,35,Contentieux,2025-10-12 15:32:30,AG-004
ENG-20133,CLI-10081,Hicham Sbihi,Mourabaha Immo,1079591.45,120,5.13,83,Debloque,2026-11-24 13:58:57,AG-003
ENG-20134,CLI-10322,Noureddine Sbihi,Ijara,308831.22,180,6.47,68,Debloque,2023-08-14 15:12:36,AG-009
ENG-20135,CLI-10345,Meryem Fassi-Fihri,Mourabaha Immo,492069.02,240,8.68,35,Debloque,2026-06-05 14:11:22,AG-010
ENG-20136,CLI-10359,Youssef Idrissi,Investissement PME,1624239.82,36,3.85,91,Debloque,2025-05-20 12:46:55,AG-010
ENG-20137,CLI-10090,Mehdi Fassi-Fihri,Mourabaha Auto,370902.09,24,8.71,77,Valide,2026-06-18 15:06:17,AG-008
ENG-20138,CLI-10247,Khadija El Amrani,Credit Tresorerie,158224.02,36,5.37,37,En analyse,2024-05-03 14:18:51,AG-004
ENG-20139,CLI-10314,Samira Tazi,Mourabaha Immo,487360.11,180,6.9,69,Debloque,2026-08-19 14:27:51,AG-003
ENG-20140,CLI-10110,Nadia Balafrej,Mourabaha Immo,466507.79,120,5.16,93,Debloque,2024-09-28 09:53:47,AG-007
ENG-20141,CLI-10295,Zineb Berrada,Mourabaha Immo,537265.64,120,7.6,39,Debloque,2026-02-06 16:16:08,AG-010
ENG-20142,CLI-10007,Said Mouline,Ijara,249758.34,120,3.79,34,Valide,2024-08-08 11:52:52,AG-007
ENG-20143,CLI-10300,Salma Benjelloun,Ijara,145671.91,120,4.28,92,Valide,2026-08-07 09:22:24,AG-008
ENG-20144,CLI-10006,Hicham Sbihi,Mourabaha Immo,745540.54,180,8.82,89,Debloque,2026-04-26 16:27:45,AG-002
ENG-20145,CLI-10131,Ahmed Kabbaj,Mourabaha Immo,673971.91,240,4.52,28,Debloque,2023-04-12 13:04:12,AG-003
ENG-20146,CLI-10145,Asmaa Hakim,Mourabaha Immo,347483.14,120,5.73,38,Debloque,2025-05-11 15:40:58,AG-004
ENG-20147,CLI-10011,Karim Ouazzani,Mourabaha Auto,127599.06,36,5.71,85,Valide,2023-12-14 14:10:42,AG-004
ENG-20148,CLI-10398,Youssef Fikri,Mourabaha Auto,278761.78,36,4.72,66,Debloque,2026-11-21 09:19:10,AG-002
ENG-20149,CLI-10205,Hicham Fassi-Fihri,Mourabaha Auto,151217.62,24,8.39,33,Debloque,2024-03-17 13:07:37,AG-006
ENG-20150,CLI-10075,Asmaa Lamrani,Credit Tresorerie,387629.64,12,8.34,92,Surveillance,2025-05-20 15:22:36,AG-008
ENG-20151,CLI-10160,Leila Bencheikh,Mourabaha Auto,114894.82,36,6.98,48,Debloque,2023-06-07 10:04:17,AG-003
ENG-20152,CLI-10488,Said Zniber,Mourabaha Immo,609470.65,240,6.58,56,Debloque,2026-03-22 12:15:42,AG-006
ENG-20153,CLI-10382,Samira Hakim,Ijara,639006.62,180,8.16,29,Debloque,2025-09-04 15:28:49,AG-005
ENG-20154,CLI-10123,Mohamed El Amrani,Mourabaha Immo,344386.8,180,5.47,67,Surveillance,2026-10-22 12:08:46,AG-005
ENG-20155,CLI-10323,Hicham Tazi,Credit Tresorerie,35356.95,24,4.81,35,Debloque,2025-04-03 11:56:57,AG-006
ENG-20156,CLI-10268,Mehdi Hakim,Mourabaha Auto,164780.31,24,7.83,,Debloque,2024-08-18 08:50:18,AG-010
ENG-20157,CLI-10167,Khadija Idrissi,Mourabaha Immo,426579.02,120,3.7,60,Debloque,2024-06-17 13:03:03,AG-003
ENG-20158,CLI-10481,Mehdi Sbihi,Mourabaha Immo,635353.14,180,5.52,54,Contentieux,2026-05-14 12:04:06,AG-009
ENG-20159,CLI-10001,Ahmed Guedira,Mourabaha Auto,290446.26,24,7.66,43,Debloque,2023-04-26 12:20:37,AG-008
ENG-20160,CLI-10402,Salma Mouline,Mourabaha Auto,154397.14,36,5.59,59,Debloque,2024-02-01 11:04:54,AG-003
ENG-20161,CLI-10281,Mohamed El Fassi,Ijara,273623.32,120,3.65,93,Debloque,2025-03-13 10:26:20,AG-004
ENG-20162,CLI-10385,Youssef Benjelloun,Ijara,304539.01,180,8.15,31,Contentieux,2024-01-10 12:08:20,AG-005
ENG-20163,CLI-10356,Meryem Slaoui,Mourabaha Immo,859782.31,240,4.99,24,Debloque,2025-04-19 09:00:24,AG-004
ENG-20164,CLI-10035,Hassan El Amrani,Mourabaha Immo,971037.09,120,3.73,20,Debloque,2024-09-10 11:52:33,AG-005
ENG-20165,CLI-10255,Imane Alaoui,Mourabaha Auto,375670.68,24,5.48,27,Valide,2024-11-24 11:58:05,AG-002
ENG-20166,CLI-10171,Amina Jai,Mourabaha Auto,210629.58,48,7.44,55,Valide,2023-10-15 08:55:28,AG-002
ENG-20167,CLI-10175,Said Fikri,Ijara,761242.1,180,4.91,44,Valide,2026-10-13 11:24:56,AG-010
ENG-20168,CLI-10422,Fatima El Fassi,Mourabaha Immo,629149.91,180,5.54,56,Debloque,2023-10-24 08:21:44,AG-007
ENG-20169,CLI-10274,Hind Benjelloun,Mourabaha Auto,202294.93,48,7.71,32,Debloque,2026-01-12 15:21:02,AG-004
ENG-20170,CLI-10013,Amina Berrada,Investissement PME,1810271.38,36,5.78,94,Valide,2025-07-22 17:44:12,AG-006
ENG-20171,CLI-10347,Youssef Benjelloun,Ijara,594737.96,120,8.12,35,En analyse,2026-09-20 13:11:50,AG-006
ENG-20172,CLI-10002,Abdellah Kabbaj,Mourabaha Auto,481552.07,36,5.1,40,En analyse,2023-12-03 11:26:17,AG-008
ENG-20173,CLI-10414,Zineb Idrissi,Mourabaha Immo,586691.33,120,7.62,87,Valide,2025-03-22 10:23:44,AG-003
ENG-20174,CLI-10167,Khadija Idrissi,Mourabaha Immo,550578.84,240,5.23,52,Debloque,2025-03-13 08:33:55,AG-003
ENG-20175,CLI-10377,Amina Berrada,Credit Tresorerie,20000,24,5.45,78,Debloque,2023-04-21 10:29:38,AG-002
ENG-20176,CLI-10333,Youssef El Amrani,Mourabaha Auto,406220.17,24,4.04,25,Debloque,2024-06-20 17:37:47,AG-003
ENG-20177,CLI-10336,Zineb Erraji,Ijara,267981.02,240,3.76,61,Valide,2024-07-17 14:24:17,AG-007
ENG-20178,CLI-10077,Amine Guedira,Mourabaha Immo,292216.71,180,6.47,93,Debloque,2026-05-05 10:35:46,AG-007
ENG-20179,CLI-10426,Hind Erraji,Mourabaha Immo,735978.93,180,6.61,27,En analyse,2026-11-18 14:31:25,AG-007
ENG-20180,CLI-10136,Imane El Amrani,Credit Tresorerie,298091.57,36,8.66,84,Debloque,2025-05-24 14:57:22,AG-005
ENG-20181,CLI-10479,Fatima Slaoui,Mourabaha Immo,382799.1,120,7.08,29,Valide,2024-07-05 15:11:30,AG-001
ENG-20182,CLI-10227,Salma Jai,Mourabaha Immo,599260.53,120,7.09,32,Debloque,2025-08-05 14:56:48,AG-002
ENG-20183,CLI-10489,Amine Slaoui,Mourabaha Auto,400997.08,24,8.91,57,Valide,2026-07-23 12:13:35,AG-010
ENG-20184,CLI-10270,Ahmed Balafrej,Mourabaha Auto,0,24,3.55,34,Surveillance,2024-01-13 12:23:46,AG-007
ENG-20185,CLI-10230,Youssef El Amrani,Ijara,638003.78,180,7.15,28,En analyse,2025-06-03 08:11:04,AG-003
ENG-20186,CLI-10424,Khadija Slaoui,Mourabaha Auto,446018.25,24,5.04,47,Valide,2025-11-23 17:59:52,AG-010
ENG-20187,CLI-10276,Abdellah Alaoui,Mourabaha Auto,180371.6,24,8.48,26,Valide,2026-08-18 10:56:43,AG-010
ENG-20188,CLI-10178,Noureddine El Fassi,Mourabaha Auto,143755.57,36,8.26,82,Debloque,2025-05-16 11:27:04,AG-004
ENG-20189,CLI-10194,Leila Kabbaj,Investissement PME,626398.34,60,4.7,24,Valide,2023-05-04 09:59:52,AG-001
ENG-20190,CLI-10017,Youssef Hakim,Credit Tresorerie,528110.08,24,5.26,48,Contentieux,2025-05-07 14:15:16,AG-001
ENG-20191,CLI-10366,Youssef Hakim,Mourabaha Immo,563066.19,180,5.83,78,Debloque,2024-05-28 10:42:28,AG-004
ENG-20192,CLI-10116,Said Hakim,Ijara,663340.04,180,4.11,94,Debloque,2024-06-07 08:10:45,AG-005
ENG-20193,CLI-10108,Asmaa Sbihi,Ijara,384694.4,120,7.96,82,Surveillance,2023-01-09 15:27:34,AG-001
ENG-20194,CLI-10227,Salma Jai,Mourabaha Immo,903255.69,120,8.66,41,Debloque,2024-07-08 09:57:34,AG-002
ENG-20195,CLI-10129,Nadia El Amrani,Ijara,581309.75,120,8.9,53,Valide,2026-12-09 12:59:14,AG-004
ENG-20196,CLI-10168,Khalid El Amrani,Credit Tresorerie,352974.95,12,4.5,43,Valide,2025-10-22 13:00:26,AG-004
ENG-20197,CLI-10166,Zineb Zniber,Mourabaha Immo,393288.52,180,5.39,24,Debloque,2024-11-06 15:10:20,AG-008
ENG-20198,CLI-10016,Said Balafrej,Mourabaha Auto,250375.57,36,7.51,25,Contentieux,2023-12-19 17:30:19,AG-002
ENG-20199,CLI-10461,Zineb Guedira,Mourabaha Immo,448667.82,120,8.4,47,Surveillance,2023-08-17 17:38:14,AG-003
ENG-20200,CLI-10474,Samira Lamrani,Credit Tresorerie,196773.33,12,7.43,61,Debloque,2023-08-01 17:39:41,AG-004
ENG-20201,CLI-10254,Khalid Zniber,Mourabaha Immo,810366.98,240,4.86,92,Valide,2023-06-10 17:46:18,AG-003
ENG-20202,CLI-10499,Rachid Zniber,Investissement PME,1323814.78,60,8.61,60,Valide,2025-12-27 08:36:14,AG-005
ENG-20203,CLI-10198,Samira El Fassi,Investissement PME,640299.87,48,7.31,88,Debloque,2025-11-27 12:35:10,AG-004
